parl_const,parl_const_name,prem_count,pixel_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Voice_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,Data_prem_out_0,Data_prem_out_1,Data_prem_out_2,Data_prem_out_3,Data_prem_out_4,Data_prem_in_0,Data_prem_in_1,Data_prem_in_2,Data_prem_in_3,Data_prem_in_4,Data_geo_out_0,Data_geo_out_1,Data_geo_out_2,Data_geo_out_3,Data_geo_out_4,Data_abrd_in_0,Data_abrd_in_1,Data_abrd_in_2,Data_abrd_in_3,Data_abrd_in_4,Data_mway_in_0,Data_mway_in_1,Data_mway_in_2,Data_mway_in_3,Data_mway_in_4,Data_mway_ard_in_0,Data_mway_ard_in_1,Data_mway_ard_in_2,Data_mway_ard_in_3,Data_mway_ard_in_4,5G_high_confidence_prem_out_0,5G_high_confidence_prem_out_1,5G_high_confidence_prem_out_2,5G_high_confidence_prem_out_3,5G_high_confidence_prem_out_4,5G_high_confidence_geo_out_0,5G_high_confidence_geo_out_1,5G_high_confidence_geo_out_2,5G_high_confidence_geo_out_3,5G_high_confidence_geo_out_4,5G_very_high_confidence_prem_out_0,5G_very_high_confidence_prem_out_1,5G_very_high_confidence_prem_out_2,5G_very_high_confidence_prem_out_3,5G_very_high_confidence_prem_out_4,5G_very_high_confidence_geo_out_0,5G_very_high_confidence_geo_out_1,5G_very_high_confidence_geo_out_2,5G_very_high_confidence_geo_out_3,5G_very_high_confidence_geo_out_4
E14001063,Aldershot,51777,5666,681,68,497,,,0.7,99.3,0,0.73,12.82,86.45,,0.41,19.8,79.79,1.17,3.96,28.63,66.23,,,11.76,88.24,0.6,3.42,31.59,64.39,,0,100,,,,3.12,96.88,,,,0.25,99.75,,,,9.99,90.01,,,,,100,,,,8.25,91.75,,,,,,0.04,99.96,,0,0.23,2.86,96.91,,,,0.85,99.15,0.15,1.32,6.75,11.45,80.32,,,,1.47,98.53,,0.8,7.24,13.48,78.47,,,,0.04,99.96,,0,0.07,1.05,98.88,,,,0.81,99.19,,0.29,3.38,13.22,83.11,,,,1.47,98.53,,,3.22,14.49,82.29,,,,,100,,,,0.04,99.96,,,,,100,,,,0.44,99.56,,,,,100,,,,0.4,99.6,2,29.04,49.93,19.03,,8.74,37.54,43.35,10.38,,27.91,43.45,20.87,7.77,,42.15,41.14,13.5,3.21,
E14001064,Aldridge-brownhills,40695,5380,693,7,413,,,1.8,98.2,1.09,4.61,28.44,65.86,,,5.24,94.76,2.02,3.61,28.86,65.51,,,71.43,28.57,0.24,2.91,38.74,58.11,,0.78,99.22,,,0,11.55,88.45,,,,2.86,97.14,,,,21.21,78.79,,,,28.57,71.43,,,,24.46,75.54,,,,,,0.38,99.62,0.05,0.37,2.15,21.7,75.72,,,0.02,0.63,99.35,0.29,0.72,3.61,24.1,71.28,,,,,100,,0.24,4.36,28.81,66.59,,,,0.15,99.85,,0.05,0.78,5.32,93.85,,,,0.3,99.7,,0.29,1.88,7.36,90.48,,,,,100,,,2.18,9.44,88.38,,,,,100,,,,0.37,99.63,,,,,100,,,,,100,,,,,100,,,,,100,0.27,6.07,16.91,37.94,38.82,0.35,4.76,12.86,34.57,47.45,5.54,30.9,26.29,31.46,5.82,6.64,24.18,27.49,30.45,11.25
E14001065,Altrincham And Sale West,45642,5159,538,19,308,,,0.23,99.77,0.01,0.67,19.91,79.4,,0.02,6.09,93.89,0.37,1.49,20.82,77.32,,5.26,10.53,84.21,0.65,2.6,16.88,79.87,,0,100,,,,6.86,93.14,,,,0.29,99.71,,,,13.38,86.62,,,,,100,,,,10.39,89.61,,,,,,0.02,99.98,,0,0.26,2.31,97.43,,,,2.23,97.77,,,2.79,8.36,88.85,,,,,100,,,1.62,3.9,94.48,,,,0.02,99.98,,,0.04,0.53,99.43,,,,2.07,97.93,,,1.3,5.39,93.31,,,,,100,,,0.65,1.95,97.4,,,,0,100,,,,0.02,99.98,,,,0.02,99.98,,,,1.49,98.51,,,,,100,,,,,100,,2.32,9.33,71.9,16.45,,4.3,22.64,57.59,15.47,0.08,14.16,43.99,40.93,0.83,1.45,22.81,45.24,29.68,0.81
E14001066,Amber Valley,45681,12464,1257,,741,0.03,0.1,14.08,85.79,1.7,7.52,48.6,42.18,0.01,0.3,11.87,87.81,2.23,5.73,47.26,44.79,,,,,0.4,3.51,45.88,50.2,,53.72,46.28,,,0.05,82.16,17.79,,,,62.87,37.13,,,,80.99,19.01,,,,,,,,,85.16,14.84,,,,,0,0.32,99.68,0.18,0.48,2.07,10.39,86.9,,,0.02,0.74,99.24,0.72,0.8,3.66,12.81,82.02,,,,,,,,2.02,12.96,85.02,,,0,0.25,99.75,,0.29,0.93,5.36,93.41,,,0.02,0.49,99.49,,0.88,3.42,10.34,85.36,,,,,,,,1.62,10.53,87.85,,,,,100,,,0,0.29,99.7,,,,,100,,,0.08,1.27,98.65,,,,,,,,,0.67,99.33,0.03,5,55.54,31.35,8.08,0.09,5.28,55.22,33.23,6.19,0.4,8.14,75.4,15.13,0.92,1.41,14.2,70.08,13.66,0.64
E14001067,Arundel And South Downs,48464,83461,3339,,2356,0.26,1.36,14.66,83.71,6.97,17.3,37.41,38.32,3.34,7.69,24.88,64.09,11.56,20.31,34.53,33.6,,,,,8.36,18.46,34.25,38.92,,5.01,94.99,,,0.23,28.65,71.12,,,0.02,9.73,90.26,,,0.96,32.29,66.76,,,,,,,,0.38,24.62,75,,,0.02,0.06,0.39,2.12,97.42,0.73,2.83,7.25,17.63,71.56,0.33,1.34,3.27,9.37,85.69,1.62,5.45,11.95,23.39,57.59,,,,,,0.93,3.86,9.68,23.22,62.31,,0.02,0.19,1.58,98.21,0.14,1.12,4.49,15.26,78.99,0,0.42,2.23,9.31,88.04,0.24,2.07,8.54,23.9,65.26,,,,,,0.13,1.49,6.32,21.77,70.29,,,0,0.03,99.97,0.01,0.04,0.29,1.65,98,,,0.02,0.91,99.07,0.03,0.09,0.57,3.56,95.75,,,,,,,0.04,0.72,4.03,95.2,15.94,25.22,29.83,28.08,0.93,30.77,32.41,21.87,13.25,1.71,36.06,28.67,27.26,8,,56.6,27.95,12.56,2.89,0
E14001068,Ashfield,45790,9921,1071,93,554,,0.01,7.94,92.06,0.57,3.75,39.69,55.99,0.14,0.52,13.12,86.21,2.24,6.63,38.38,52.75,1.08,2.15,37.63,59.14,3.07,7.94,36.64,52.35,,78.36,21.64,,,0.01,90.6,9.39,,,,76.96,23.04,,,,95.52,4.48,,,,100,,,,,99.1,0.9,,,,,0,0.02,99.98,0.04,0.09,0.68,7.11,92.08,,0.11,0.29,2.24,97.36,0.37,1.21,3.08,14.19,81.14,,,2.15,13.98,83.87,0.72,2.17,5.6,16.97,74.55,,,,0.02,99.98,,0.04,0.24,3.54,96.18,,,0.32,2.07,97.61,,0.47,2.61,12.51,84.41,,,2.15,9.68,88.17,,0.9,5.23,16.79,77.08,,,,,100,,,,0.02,99.98,,,,0.03,99.97,,,,0.84,99.16,,,,,100,,,,1.44,98.56,0,1.25,11.96,36.56,50.23,0.67,7.93,19.3,43.63,28.46,0.3,3.35,38.81,44.55,12.99,5.1,11.36,44.65,31.81,7.08
E14001069,Ashford,47825,22713,907,261,945,0.13,0.79,10.69,88.38,3.97,11.03,34.71,50.28,2.54,7.7,20.33,69.42,4.08,9.26,32.64,54.02,4.98,3.83,25.67,65.52,2.33,4.87,30.48,62.33,,8.96,91.04,,,0.13,40.44,59.42,,,0.01,27.57,72.42,,,0.11,44.98,54.91,,,,45.98,54.02,,,,46.35,53.65,,,0.08,0.05,0.19,1,98.67,0.61,1.44,3.87,11.8,82.28,1.25,1.87,2.82,7.66,86.4,1.1,3.53,4.52,13.56,77.29,,3.07,4.6,10.73,81.61,,1.16,2.43,13.54,82.86,,0.1,0.08,1.03,98.79,0.12,0.78,2.87,9.73,86.5,0,1.82,2.29,8.17,87.71,0.11,1.1,3.97,15.44,79.38,,,5.36,6.13,88.51,,,2.22,11.64,86.14,,,0,0.06,99.94,0.08,0.05,0.12,1,98.75,,,0.09,1.12,98.79,,,0.33,1.76,97.91,,,,,100,,,,0.63,99.37,4.75,7.33,21.75,52.72,13.45,28.68,16.61,24.75,23.39,6.57,7.4,25.44,39.52,24.51,3.12,38.65,23.32,26.66,10.23,1.14
E14001070,Ashton-under-lyne,49873,3000,446,67,355,,0.01,0.06,99.92,0.07,0.41,12.64,86.89,0.07,0.2,1.97,97.77,,0.45,15.7,83.86,,,13.43,86.57,,0.56,14.65,84.79,,,100,,,0.01,12.33,87.66,,,,0.6,99.4,,,,17.26,82.74,,,,11.94,88.06,,,,14.65,85.35,,,,,0.01,0.08,99.92,,0.01,0.14,0.88,98.97,,,0.17,0.63,99.2,,,1.12,1.57,97.31,,,,,100,,,1.41,1.97,96.62,,,,0.03,99.97,,0.01,0.05,0.29,99.66,,,,0.43,99.57,,,0.45,0.9,98.65,,,,,100,,,0.56,1.13,98.31,,,,,100,,,0.01,0.03,99.97,,,,,100,,,,0.22,99.78,,,,,100,,,,0.28,99.72,,0.06,0.32,3.79,95.83,0.03,0.2,0.8,6.3,92.67,0.06,1.68,13.59,33.04,51.64,0.33,2.33,13.73,30.73,52.87
E14001071,Aylesbury,50100,19635,1092,,596,0.01,0.03,1.47,98.49,1.04,2.19,22.12,74.65,0.95,2.4,7.3,89.35,1.37,4.4,26.65,67.58,,,,,1.17,3.19,26.51,69.13,,1.47,98.53,,,0.01,21.94,78.05,,,,5.88,94.12,,,0.09,31.68,68.22,,,,,,,,,27.52,72.48,,,,0.01,0.01,1.31,98.67,0.14,0.5,2.2,13.12,84.03,0.11,0.28,0.81,3.89,94.92,0.37,1.01,3.75,16.85,78.02,,,,,,,0.5,4.7,18.79,76.01,,,0.01,0.18,99.81,0.01,0.12,1,6,92.88,,0.08,0.42,1.3,98.2,0.09,0.37,1.65,9.16,88.74,,,,,,,,1.17,8.05,90.77,,,,,100,,0,0.01,0.44,99.54,,,0.01,0.11,99.88,,0.09,0.09,0.27,99.54,,,,,,,,,0.17,99.83,0.31,14.84,16.97,34.37,33.51,4.47,43.75,30.48,13.17,8.13,6.93,23.02,34.11,28.19,7.76,21.49,54.01,16.32,6.81,1.37
E14001072,Banbury,48431,51265,2304,238,1432,0.06,0.2,9.67,90.07,3.27,6.51,33.13,57.1,1.2,1.81,16.64,80.35,3.43,7.38,30.99,58.2,,0.84,12.18,86.97,2.16,4.47,28.63,64.73,,6.92,93.08,,,0.04,24.18,75.78,,,0.01,13.31,86.68,,,0.04,32.94,67.01,,,,0.42,99.58,,,,27.79,72.21,,,,0.02,0.21,1.27,98.49,0.45,1.39,5.88,9.78,82.5,0.16,0.35,0.96,3.57,94.96,0.69,2.13,5.16,12.8,79.21,,,,2.1,97.9,0.14,0.7,2.58,10.47,86.1,,,0.18,1.13,98.69,0.01,0.78,4.25,9.43,85.53,0.01,0.17,0.8,2.9,96.12,,1.09,4.69,10.2,84.03,,,,,100,,0.21,1.54,8.24,90.01,,,,0,100,,0,0.22,1.16,98.62,,,0.02,0.16,99.82,,,0.3,1.17,98.52,,,,,100,,,,0.21,99.79,7.59,16.72,21.37,11.56,42.75,19.81,31.56,32.38,11.7,4.55,12.37,25.21,26.34,23.99,12.09,33.51,40.09,21.1,3.83,1.47
